country_code,year,tot_views,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
AU,2024,2931544000,328,1.3761219655695334,1.1087047586163612,1.4888170995568726,1.169890000917868,1.0961327791970603
AW,2015,4432000,21,2.493439941279544,1.6941606701908098,1.8652977641078359,1.563302529087591,1.4261681568319433
AW,2016,6976000,24,2.5251165382059617,1.7051638902252413,1.8737026421552798,1.5684029783540474,1.430214161978795
AW,2017,6738000,26,2.773821019958209,1.7988014446944143,1.981514706831076,1.6427593316932902,1.4847932290352084
AW,2018,6563000,27,2.7444328953565598,1.7739416502796703,1.9658619941153042,1.628305219948797,1.472815901479069
AW,2019,6509000,43,2.7409588149036446,1.747379811724483,1.947073045563154,1.6095493045265934,1.4575057703751593
AW,2020,6172000,60,2.8905415774138357,1.8103463942281195,2.0054034844940776,1.6564616210730287,1.4961604389661334
AW,2021,5989000,33,2.7232092256158666,1.7492900909449294,1.9487776206278702,1.6007196451902839,1.4498949240378463
AW,2022,5839000,34,2.6893181230694263,1.6945857279009113,1.935382944605901,1.577601514512393,1.4260318024449419
AW,2023,5691000,27,2.5077834798164704,1.631931189325947,1.863983595114104,1.5322584997100905,1.391984465937085
AW,2024,5727000,30,2.485194403835429,1.6138043635979662,1.8730503474587399,1.5341239882408666,1.390548726647135
AX,2015,2462000,28,3.2997392392041456,2.4353692080346434,2.0608783801331914,1.7563652481245755,1.641654299323731
AX,2016,3788000,23,3.1688309207508074,2.3730104522678883,2.0084564357537396,1.7223424702808707,1.6153397121482151
AX,2017,3543000,25,3.303738420369497,2.431077927704338,2.0890446284572133,1.7701393409146522,1.6483251961053174
AX,2018,3458000,25,3.4446536763725555,2.4671532846715327,2.1372191449115645,1.7853863581484115,1.6574858103045362
AX,2019,3739000,26,3.4504826726236484,2.480429703225719,2.124590145731289,1.7827038661519408,1.6579171297057087
AX,2020,3944000,26,3.4582397300047454,2.4917360945361695,2.143156039263753,1.7943765580969646,1.666879452172687
AX,2021,3997000,26,3.4586104894076386,2.5322645606318996,2.1519439261989044,1.8149232475235668,1.6861296102401877
AX,2022,3635000,28,3.625938817487107,2.5903291581250127,2.188262334367814,1.8444900187423134,1.7091605353379442
AX,2023,3588000,28,3.709982863955402,2.6048356942023148,2.2335044794212533,1.8649187745551632,1.7205033544374027
AX,2024,3626000,32,3.8433590112965024,2.6103618923277097,2.358602669112486,1.9056028086590282,1.7371017961994082
AZ,2015,101457000,129,4.501573808330312,3.8109927140530457,2.8947688515585033,2.8217051268872284,2.7752099378310784
AZ,2016,186537000,114,4.453321236099308,3.84775338956466,2.8769020369906704,2.8058540488248287,2.7619720236618277
AZ,2017,194589000,110,4.323411100217295,3.6348561001720587,2.84170740197745,2.733120778228912,2.655981270303716
AZ,2018,202913000,176,4.192227615855135,3.42722120672402,2.821477488050034,2.696171092096277,2.605275890972814
AZ,2019,212346000,187,4.0583352601882305,3.2444352551589977,2.7849299849939366,2.622234728148881,2.4989454149992976
AZ,2020,241773000,278,4.095632583589078,3.2484132698143506,2.786191069535214,2.6084408885841373,2.4740213973468976
AZ,2021,299228000,242,3.8394240121832675,2.943998483702387,2.712602386572117,2.4623086041521027,2.2736890288162432
AZ,2022,287158000,258,4.169707565079584,3.2659582032343364,2.8005040919229494,2.5926554370865236,2.43419595376299
AZ,2023,138150000,156,4.1009933279090545,3.257693010255458,2.7910890481757282,2.5766637748711534,2.4119352122917497
BA,2015,92582000,80,5.004028092811273,3.3818756045206113,2.0307047723846687,1.9449258764376405,1.9063989739549334
BA,2016,148703000,77,5.1734243810507365,3.5443543430506383,2.0387408605676574,1.952475112227183,1.9148493112967233
BA,2017,156304000,95,5.5184323379169085,3.8865174097189144,2.046174778477173,1.9622207122776272,1.9241628616736424
BA,2018,158150000,76,5.517028233457689,3.962983062683471,2.0292679231930926,1.9518392710003005,1.9149033910413251
BA,2019,150896000,179,5.360127277393774,3.828122909884294,2.03742959104006,1.9409766514105389,1.8988500134069255
BA,2020,173319000,96,5.218711488872841,3.8740157857123836,2.005162317460098,1.9013042624676217,1.856429223064025
