ID,language,macroarea,glottocode,ISO6393,Latitude,Longitude,level,category,subclassification,aes,med,medovertime,bib,classification,family
bena1262,Bena (Tanzania),Africa,bena1262,bez,-9.26671,35.0364,language,Spoken_L1_Language,"(bena1274:1,(itam1234:1,itip1234:1,lwan1234:1,ukal1234:1)east2889:1,(ihan1234:1,ikun1241:1,kana1293:1,ujin1234:1,uten1234:1,wang1302:1)nort3399:1,(liwe1234:1,maka1325:1,utal1238:1)sout3376:1)bena1262:1;",1,0,"['Morrison, Michelle Elizabeth. 2011. A reference grammar of Bena. Houston, TX: Austin: University of Texas at Austin dissertation. (547pp.)', 'Priebusch, Martin. 1935. Bena-Hehe-Grammatik. Berlin: Kommissionsverlag der Buchhandlung der Berliner Miss.-Ges. 160pp.', 'Last, Joseph T. 1885. Polyglotta Africana Orientalis. London: Society for the Promotion of Christian Knowledge. ix+239pp.']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/sout3185/bena1273,Atlantic-Congo
hehe1240,Hehe,Africa,hehe1240,heh,-7.71572,35.7255,language,Spoken_L1_Language,hehe1240:1;,2,2,"['Velten, C. 2011 [1899]. Die Sprache der Wahehe. Munich: Lincom Europa. 84pp.', ""Thomson, Joseph. 1880. Notes on the route taken by the Royal Geographical Society's East African expedition from Dar-es-Salaam to Uhehe; May 19th to August 29th, 1879. Proceedings of the Royal Geographical Society and monthly record of geography 2(2). 102-122.""]",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/sout3185/bena1273,Atlantic-Congo
konz1238,Rwenzori,Africa,konz1238,NA,0.037455,29.44695,family,Family,"((ruko1238:1,sanz1246:1)konz1239:1,(ekis1238:1,kumb1271:1,mate1257:1,nucl1392:1,shuu1237:1,swag1238:1,tang1344:1,yira1240:1)nand1264:1)konz1238:1;",NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842,Atlantic-Congo
kivu1239,Kivu,Africa,kivu1239,NA,-2.7668437538878585,29.387293839155102,family,Family,"((((fuli1240:1,joba1238:1)fuli1242:1,nyin1248:1)fuli1241:1,(havu1238:1,hund1239:1)hund1240:1,(hwin1238:1,lind1247:1,long1391:1,ziba1238:1)shii1238:1,(rhin1241:1,temb1271:1)temb1270:1)fore1272:1,((bufu1238:1,bwis1241:1,hutu1238:1,igik1238:1,mule1238:1,rufu1238:1,rutw1238:1)kiny1244:1,rund1241:1,(haaa1252:1,(hang1260:1,shub1238:1)hang1264:1,rund1242:1)rund1244:1,vinz1238:1)rwan1241:1)kivu1239:1;",NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842,Atlantic-Congo
kabw1242,Kabwari,Africa,kabw1242,kcw,-4.36966,29.1684,language,Spoken_L1_Language,kabw1242:1;,1,4,"['Johnston, Harry. 1904. The Uganda Protectorate. (2.) 2nd edn. London: Hutchinson. xxxvi+1018pp.']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842,Atlantic-Congo
nyan1318,Nyanza Mara,Africa,nyan1318,NA,-1.5874547499999998,34.398672958333336,family,Family,"((gusi1247:1,((bugu1247:1,buki1246:1,nyab1253:1)kuri1259:1,(hach1240:1,bwir1238:1,kine1234:1,kiro1241:1,rier1234:1,simb1253:1,surw1234:1,swet1238:1)suba1252:1)kuri1276:1,suba1238:1,(kabw1241:1)unun9920:1)nort3227:1,(((nucl1788:1,siza1240:1)ikiz1238:1,(gira1246:1,ndal1242:1,sior1238:1)zana1238:1)sout3373:1,((mwib1234:1,rogo1240:1)ngur1263:1,((ikom1246:1,nata1256:1)ikom1245:1,isse1238:1)ikom1247:1)west2987:1)sout3201:1)nyan1318:1;",NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750,Atlantic-Congo
sugu1245,Suguti,Africa,sugu1245,NA,-1.75643,33.557633333333335,family,Family,"(jita1239:1,kara1481:1,(ruri1238:1)kway1241:1)sugu1245:1;",NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750,Atlantic-Congo
logo1258,Logooli,Africa,logo1258,rag,0.09487,34.729,language,Spoken_L1_Language,logo1258:1;,1,2,"['Rees, Emory J. 1937. Kitabu kya Luragoli grammar. Kaimosi (Kenya): Friends Africa Mission. 56pp.', 'Rees, E.J. 1915. Grammar of Luragoli. Kaimosi (Kenya).']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/grea1291,Atlantic-Congo
luyi1234,Luyia,Africa,luyi1234,NA,0.40804208333333336,34.62653888888889,family,Family,"((idak1244:1,isuk1238:1,tiri1257:1)idak1243:1,((buku1249:1,(lubu1245:1,lugi1238:1,ulud1238:1,luso1235:1,luwa1243:1,ulub1244:1)masa1299:1)nort3404:1,(((east2409:1,kabr1240:1,tach1242:1)kaba1294:1,(kisa1263:1,mara1392:1,tsot1241:1)kisa1269:1,nyor1244:1,wang1294:1)cent2288:1,((khay1238:1,mara1393:1)mara1423:1,((hady1238:1,meny1244:1,sabi1246:1,wesa1238:1)nyol1238:1,saam1283:1)saam1286:1,west2861:1)west2858:1)saam1285:1)saam1284:1)luyi1234:1;",NA,4,"['Dalgish, Gerard M. 1986. /-a-/ reduction phenomena in Luyia. Studies in African Linguistics 17(2). (?).']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/grea1291,Atlantic-Congo
ruta1242,Rutara,Africa,ruta1242,NA,-1.271548188431856,31.994899045895657,family,Family,"(kere1283:1,(hema1238:1,((chig1238:1,(hima1248:1,horo1246:1,orut1238:1)nyan1307:1)nkor1241:1,((orun1241:1,ruta1240:1)nyor1246:1,(tuku1253:1)toor1238:1)nyor1247:1)nkor1240:1,(east2410:1,west2477:1)ruul1235:1,tali1258:1)nort3228:1,((bumb1240:1,edan1238:1,ekiz1238:1,gand1256:1,hamb1246:1,hang1259:1,mwan1249:1,nyak1262:1,yoza1238:1)haya1250:1,(yaka1271:1)nyam1277:1)sout3202:1,(kula1278:1,long1390:1,subi1247:1)zinz1238:1)ruta1242:1;",NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841,Atlantic-Congo
