lang_id,ISO6393,words,completeness,language,macroarea,family,ONE,TWO,PERSON,FISH,DOG,LOUSE,TREE,LEAF,SKIN,BLOOD,BONE,HORN (ANATOMY),EAR,EYE,NOSE,TOOTH,TONGUE,KNEE,BREAST,LIVER,DRINK,SEE,HEAR,DIE,COME,STAR,WATER,STONE,FIRE,PATH,MOUNTAIN,NIGHT,FULL,NEW,NAME,SUN,HAND,I,THOU,WE
BATAK_MANDAILING,btm,26,65,Batak Mandailing,Papunesia,Austronesian,NA,doea,halak,NA,anjiN,gomit,NA,boeloeN,bobak,daro,NA,NA,piNgol,mata,igoeN,NA,dila,tot,andora,ateate,minoem,NA,tandoek,NA,ro,NA,aek,batoe,api,NA,tor,borNin,boeta,imbaroe,NA,NA,taNan,NA,NA,hita
BUGINESE,bug,37,92.5,Buginese,Papunesia,Austronesian,isaN,dua,tau,bale,asu,utu,NA,dauN,uliq,dara,buku,tanruq,culiN,mata,iN3q,isi,lila,utuq,dada,ate,iruq,ita,s3ddiN,NA,NA,wittoiN,wae,batu,api,lal3N,tanette,w3nni,p3nno,baru,as3N,3sso,lima,i,iko,idiq
BULGARIAN,bul,40,100,Bulgarian,Eurasia,Indo-European,Edno,dvE,licE,riba,kuCE,voSka,dorvo,list,koZa,krov,kost,rog,uxo,oko,nos,zob,Ezik,kolano,gordi,CEr drob,piya,viZdam,sluSam,umiram,idvam,zvEzda,voda,kamok,ogon,pot,planina,noSt,polEn,nov,imE,sloncE,roka,az,ti,niE
BURIAT_RUSSIA_2,bxr,39,97.5,Russia Buriat,Eurasia,Mongolic-Khitan,nEgEN,xoyor,xiN,zagahaN,noxoy,NA,modoN,lis,arhaN,SuhaN,yahaN,EbEr,SExEN,nyudEN,xamar,SidEN,xElEN,ibdEk,sEZE,ELgEN,uxa,xaraxa,sonosoxo,ixExE,yErExE,odoN,uhaN,SuluN,gal,zirgE,xada,hini,dirEN,SEnE,nErE,naraN,gar,bi,Si,bidE
CATALAN,cat,40,100,Catalan,Eurasia,Indo-European,un,dos,p3rson3,peS,gos,poL,abr3,fuL3,peL,saN,os,korn,urEL3,uL,nas,den,LeNg3,j3noL,pit,fej3,bEur3,bEur3,s3nti,muri,b3ni,3streL3,aix3,pe8r3,fok,k3mi,mon,nit,plE,nou,nom,sol,ma,Zo,tu,nuzaltr3s
ZAMBOANGUENO,cbk,40,100,Chavacano,Papunesia,Indo-European,uno,dos,hete,peskaw,iru,kutu,puo,ohas,pel,saNre,weso,kerno,orehas,oho,naris,dete,leNa,rudila,teta,igaw,toma,mira,siti,mori,bei,estrela,aga,pedra,pego,sedero,budak,noCe,leo,nebo,nomre,sol,mao,yo,ebos,kita
FUZHOU_CHINESE,cdo,40,100,Min Dong Chinese,Eurasia,Sino-Tibetan,8uok,naN,neiN,Ni,keiN,8aikmo,ciu,nuok,pui,haik,kouk,koik,Nai,meikciu,pei,Nai,cuiliek,kakputau,neiN,kaN,ciok,kaN,tiaN,8i,li,8iN,cui,8uoktau,hui,lou,8aN,maNmuo,muaN,8iN,miaNcei,liktau,ciu,Nuai,ne,NuaikoneiN
CEBUANO,ceb,34,85,Cebuano,Papunesia,Austronesian,usa,duha,tawu,isda,iro7,kutu,NA,dahun,panit,dugu7,bukug,NA,daluNan,mata,iluN,Nipun,dila,NA,dugan,atay,inum,tanaw,duNug,matay,ani,bitun,tubig,batu,kalayu,dalan,NA,gabi7i,NA,bagu,Nalan,NA,kamut,ako,ikaw,kita
CZECH,ces,40,100,Czech,Eurasia,Indo-European,yEdno,dva,osoba,riba,pEs,vES,strom,list,kuZE,krEf,kost,roh,uxo,oko,nos,zup,yazik,kolEno,prs,yatra,pit,viTEt,sliSEt,zEmrit,priyit,hvEzda,voda,kamEn,ohE5,pESina,hora,noc,pl5i,novi,ymEno,sluncE,ruka,ya,ti,mi
CHAMORRO,cha,40,100,Chamorro,Papunesia,Austronesian,unu,dos,taotao,gihan,galagu,hutu,tronkon hacu,hagon,lassas,haga7,tolaN,kaNhelon,talaNa,atadok,gi7eN,akankaN,hula7,tommo,susu,higadu,gimen,keli7e7,huNok,kumematai,mamaila7,estrecas,aga,aco7,gafi,calan,sabana,noces,bokka7,nueba,na7an,atdao,kannai,hu,un,hami
AKKIN_CHECHEN,che,40,100,Chechen,Eurasia,Nakh-Daghestanian,ca7,gi7,adam,Capk3,Zali,mez3,mar3l,x3,cok,ci,dEXak,maX,lerg,bErg,mar,cerg,mot,gol,naq,doXaX,mal,g3,Xaz,eli 3,da,sed3,Xi,qerag,ce,neq,lam,bisa,vuz3n,kerl3,ce,mar,k3,so,xo,vay
CHOCTAW,cho,39,97.5,Choctaw,North America,Muskogean,aCafa,toklo,hatak,nani,ofi,isap,iti,NA,hakSop,isiS,foni,lapiS,haksobiS,niSkin,ibiSakni,noti,itolas,iyi kalaha,ipiSik,salaka,iSko,pisa,kaklo,ili,miti,fiCik,oka,tali,lowak,hina,habik,ninak,kaya,himona,hoCifo,haSi,ibak,ano,CiCno,piSno
CHEROKEE,chr,40,100,Cherokee,North America,Iroquoian,sogwu,ghali,yowi,acad7i,gihli,tina,hlkv7i,ughaloga,unega7lo7i,giga,ghola,uhyuna,gale7ni,aghano7i,ayohsuli,gandohka,gando7i,ganigeni,ganeci,uwela,adihdha,gohwdh,ahdhok,ayohuhisdi,galuC3,nomgwihsi,ama,n3ya,acila,usdigan3n3,odal3,unsohi,hsul,acehi,dudo3,iga odonod7a,uwo7yeni,ayo,nihi,idi
OLD_CHURCH_SLAVONIC,chu,39,97.5,Church Slavic,Eurasia,Indo-European,yedinu,duva,Cloveku,riba,pisu,NA,drevo,listu,koZa,kruvi,kosti,rogu,uxo,oko,nosu,zobu,yeziku,koleno,susu,yetro,piyetu,viditu,sliSitu,miretu,pridetu,zvezda,voda,kami,ogni,poti,gora,noSti,isplunu,novu,ime,slunice,roka,azu,ti,mi
CHUVASH,chv,40,100,Chuvash,Eurasia,Turkic,p3r,ik3,Sun,pul3,yud3,pud3,yuv3S,SulZ3,tir,yun,S3m3,m3raga,x3lxa,kuS,s3mza,S3l,C3lxe,C3rguSi,k3g3r,p3ver,3S,kur,ilt,vil,kil,S3ld3r,Suv,Cul,vut,Sul,tu,kaS,tul3,S3n3,yat,x3vel,al3,eb3,ez3,ebir
CHEYENNE,chy,39,97.5,Cheyenne,North America,Algic,noka,nixa,vostan,noman,hotam,NA,hoc,vepoc,nacevtan,mae,macekonoc,vevsc,matavoc,maex,maevo,ves,vitanov,manstan,maceSeon,he,naman,rad,nanista,enaeoc,nahoen,hotoT,map,hohona,hoesta,meo,hohona,tae,otom,emona,vehestoc,eSehe,namecevaeno,nanehov,ninehov,ninehovema
KURDISH_CENTRAL,ckb,37,92.5,Central Kurdish,Eurasia,Indo-European,yak,du,kas,mosi,sag,NA,dor,para,pest,xen,esqon,Sox,ge,Cow,lut,don,zimon,aZno,siN,jarg,xwordinawa,binin,bistin,giyon darCun,farmun,astera,ow,bard,ogir,re,Sox,NA,pir,toza,now,xor,dast,NA,to,ema
MANDARIN,cmn,40,100,Mandarin Chinese,Eurasia,Sino-Tibetan,i,el,jen,yu,gou,Sc,Suh,yec,pi fu,Siueh,gutou,Ciao,elduo,yean jiN,bic,ya Cy,Sertou,Si,SioN pu,gan canq,he,kan jian,tiN,su,lai,SiNSiN,Soei,Srtou,huo,hsiao lu,San,woanSanq,CoN man,Sin,miNc,tay yaN,Sou,wo,ni men,wo men
CORNISH,cor,40,100,Cornish,Eurasia,Indo-European,onEn,diu,den,pisk,ki,lowen,gi8en,delen,kroxen,gos,Eskorn,korn,skovErn,lEgEs,tron,dEns,tEves,glin,bron,Evi,evE,geles,kliues,merel,dos,steren,dour,men,tEn,vor8,meni8,nos,liun,nowi8,hEnou,houl,dorn,mi,ti,ni
CORSICAN,cos,38,95,Corsican,Eurasia,Indo-European,unu,dwi,nimu,pESu,Takaru,pidoTu,arburu,foLa,pedi,saNgwi,osu,kori,arETa,oTi,nasu,dEnti,liNgua,vinoTi,petu,fegatu,biy,vEnd,sEnt,mor,vEn,Steda,akwa,kota,fogu,Strada,muntanTa,noti,NA,NA,nomu,soli,mani,eyu,tu,noi
CRIMEAN_TATAR,crh,38,95,Crimean Tatar,Eurasia,Turkic,bir,eki,3zi,NA,it,NA,axaS,japrak,teri,kan,siyek,miyiz,kulak,g3z,burun,t3S,t3l,t3z,k3krek,jiger,iS,k3r,esit,3l,kel,j3ld3z,suw,tas,ot,jol,taw,keSe,tolu,jaN3,at,kin,kol,3zim,sen,biz
MOOSE_CREE,crm,40,100,Moose Cree,North America,Algic,pey3k,nisu,owiy3k,kinuseo,3tim,ikw3,mistik,nipe,3s3ki,mihko,osk3n,esk3n,tow3kui,iskisik,kut,pit,tey3ni,ihCikw3n,eskik3n,oskun,minihkwewin,wapiw,peht3m,nipiw,pe,3C3hk,nipi,3sini,iskoteo,esk3now,w3Ci,tipiskaw,sak3skin,oski,isinikasuwin,pisim,CiCi,niyu,kiyu,kiyanow
KASHUBIAN,csb,39,97.5,Kashubian,Eurasia,Indo-European,yEdEn,dva,lud,r3ba,pEs,kuka,drEvwo,l3st,skota,krEv,koS,rog,wuxwo,wokwo,nos,zob,yoz3k,kolano,cick,votroba,gr3zc,baC3c,NA,mrec,nadE5c,gvazda,woda,kam,wojin,stEgna,Zma,noc,pEwEn,novi,yima,swu5cE,garsc,ya,t3,m3
WELSH,cym,40,100,Welsh,Eurasia,Indo-European,3n,da3,d3n,p3sgod3n,ki,L33En,prEn,d3ilEn,kro3n,ga3d,asgurn,korn,kl3st,L3gad,tru3n,dant,tavod,glin,bron,ia3,3vE,gEl,kl3uE,maru,do,sErEn,dur,karEg,ton,Lu3br,m3n38,nos,Laun,nEu38,Enu,ha3l,Lau,mi,ti,ni
DAGBANI,dag,30,75,Dagbani,Africa,Atlantic-Congo,nam,yi,NA,z3Na,ba,NA,tia,NA,gbaN,zim,kobli,NA,t3bli,nini,ne,nini,z3lnli,duni,NA,NA,nu,na,wum,kpi,ka,NA,kom,kuga,bugm,soli,NA,yuN,NA,NA,yuli,wunaNa,nu,mani,nini,t3
DANISH,dan,40,100,Danish,Eurasia,Indo-European,e7n,to7,mEnsk3,fesk,hun7,lus,trE7,blE8,hu87,blo87,ben,ho7an,ea,ay3,nEs3,tEn7,toN3,knE7,brest,lewa,drEg3,se7,hea,de7,kam3,styEan3,vEn7,sten,il7,sti7,bEw7,nEt,ful7,ni7,naw7n,sol,han7,yEy,du,vi
STANDARD_GERMAN,deu,40,100,German,Eurasia,Indo-European,ains,cvai,mEnS,fiS,hunt,laus,baum,blat,haut,blut,knoX3n,horn,or,aug3,naz3,can,cuN3,kni,brust,leb3r,triNk3n,ze3n,her3n,Sterb3n,kom3n,StErn,vas3r,Stain,foia,pat,bErk,naXt,fol,noi,nam3,zon3,hant,ix,du,vir
DAGAARE,dga,30,75,Central Dagaare,Africa,Atlantic-Congo,bon yeni,ye,NA,zuNu,ba,NA,tia,NA,gani,zi,kodi,NA,todi,nimidi,5obogdi,5ini,zili,duni,NA,NA,5u,5a,woN,kpi,wa,NA,kuo,kudi,vu,sodi,NA,tinsugo,NA,NA,yuodi,Nina,nu,ma,fu,ti
DINKA_NORTHEASTERN,dip,24,60,Northeastern Dinka,Africa,Nilotic,tok,NA,ran,reC,gol,5ok,NA,lar,NA,NA,yuom,NA,yiC,5in,wum,leC,NA,4ial,8in,Cua5,dek,tiN,NA,NA,ben,NA,NA,NA,NA,kuer,gon,NA,NA,yam,5igau,NA,Cin,xEn,NA,xo4ie
ZAZAKI,diq,40,100,Dimli,Eurasia,Indo-European,Zu,dudu,merdum,mase,kutuk,uSpiZ,dar,perr,poste,gunni,u7ste,ustre,goS,Cum,zunji,dundan,zuwan,saqe,pustun,kezev,SumtuS,diyayuS,7hesyayuS,merduS,amyayuS,ustare,aw,7si,adur,ray,kerre,Sew,murd,newe,name,roZ,dest,mun,to,ma
MALDIVIAN,div,31,77.5,Dhivehi,Eurasia,Indo-European,ek,de,NA,mas,balu,ukunu,gas,fat,ham,lei,kaSi,dalu,kanfat,lo,ne,dat,dulek,NA,buk,NA,bon,balan,ahani,NA,NA,tari,fen,ga,NA,magu,NA,rei,furi,NA,nam,iru,at,ma,imba,NA
LOWER_SORBIAN_2,dsb,40,100,Lower Sorbian,Eurasia,Indo-European,yadEn,dwa,parSona,r3ba,pyas,wES,bom,wopyEno,koZa,kSEj,knoxa,rog,wuxo,woko,nos,zub,yez3k,kolEno,nadro,yetSa,piS,wiZeS,sw3SaS,wumreS,pSiS,gweZda,woda,kamyE5,wogE5,sCaZka,gora,noc,pown3,now3,mij,sw35co,ruka,ya,t3,m3
KADAZAN,dtp,40,100,Kadazan Dusun,Papunesia,Austronesian,iso,duvo,tuhun,sada,tasu,kutu,kazu,lon,kuhit,za,tuhaN,saNau,tohiNo,mato,toduN,nipon,diha,totud,susu,toNkovizau,inumon,kokito,koNo,matai,mikot,tombituon,vaig,vatu,tapui,lahan,nuhu takavas,sodop,noponu,vagu,Nan,tadau,pahad,zou,ko,toko
DOTYALI,dty,33,82.5,Dotyali,Eurasia,Indo-European,NA,NA,montZe,maCo,kukur,joro,ruk,pot,Colo,r3g3t,hod,SiN,kon,oko,nok,dot,jib3ro,guno,NA,NA,piyo,dekyo,sunyo,m3ryo,oyo,toro,poni,NA,ogo,boto,NA,rot,b3ri,n3yo,nou,surZE,NA,m3,t3m,h3m
DZONGKHA,dzo,32,80,Dzongkha,Eurasia,Sino-Tibetan,Ci,5i,NA,NA,roCi,NA,NA,NA,pako,tra,ruto,NA,namCo,mito,lapa,so,Ce,NA,NA,Cim,tuN,toN,nawag7o,Si,So,kam,Cu,do,mi,lam,ri,z7a,gaN,sap,meN,5im,lap,Na,C3,NaCe
EMILIANO_CARPIGIANO,egl,40,100,Emiliano,Eurasia,Indo-European,un,du,om,pEs,kaN,pyoC,elber,foya,pEla,saNgev,os,koren,urECa,oC,nEz,dEynt,lENgva,znoC,pEt,fedeg,bEvEr,vEder,siNtir,murir,5ir,stEla,akwa,jarown,fog,strEda,munta5a,not,pin,nov,nom,sol,maN,mE,tE,nuEter
ESTONIAN,ekk,40,100,Estonian,Eurasia,Uralic,uks,kaks,inimene,kala,koer,tai,pu,let,nak,veri,kont,sarv,korv,silm,nina,hammas,kel,polv,rind,maks,jo,nage,kul,sure,tule,tat,vesi,kivi,tuli,te,magi,o,tais,us,nimi,paike,kasi,mina,sina,meie
GREEK,ell,40,100,Modern Greek,Eurasia,Indo-European,enas,8o,anropos,psari,sTili,psira,8enro,filo,petsi,ema,kokalo,Terato,afti,mati,miti,8oni,xlosa,xonato,sti8os,sikoti,pin,vlep,aku,pe8en,ero,asteri,nero,petra,fota,8romos,vuno,nita,yematos,neos,onoma,ilos,xeri,exo,esi,emis
ENGLISH,eng,40,100,English,Eurasia,Indo-European,w3n,tu,prs3n,fiS,dag,laus,tri,lif,skin,bl3d,bon,horn,ir,Ei,noz,tu8,t3N,ni,brEst,liv3r,driNk,si,hir,dEi,k3m,star,wat3r,ston,fEir,pE8,maunt3n,nEit,ful,nu,nem,s3n,hEnd,Ei,yu,wi
ESPERANTO,epo,40,100,Esperanto,Eurasia,Artificial Language,unu,du,persono,fiSo,hundo,lawso,arbo,folio,hauto,sango,osto,korno,orelo,okulo,nazo,dento,lango,genuo,mamo,hepato,trinki,vidi,awdi,morti,veni,stelo,akvo,Stono,fayro,pado,monto,nokto,plena,nova,nomo,suno,mano,mi,vi,ni
BASQUE,eus,40,100,Basque,Eurasia,Basque,bat,bi,gizaki,arrain,zakur,zorri,zuhaic,hosto,azal,odol,hezur,adar,belarri,begi,sudur,horc,mihi,belaun,diti,gibel,edan,ikusi,encun,hil,etorri,izar,ur,harri,su,basabide,mendi,gau,beterik,berri,izen,eguzki,esku,nik,zuek,gu
EWE,ewe,40,100,Ewe,Africa,Atlantic-Congo,deka,eve,ame,akpa,avu,yo,at3,aNgba,Nu,bu,pu,co,to,pe,Noti,adu,ade,klo,no,akla,no,ko,se,ku,va,xletivi,ci,kpe,co,ablo,to,za,yo,yeye,Nko,Ndo,asi,5e,wo,mi
FAROESE,fao,40,100,Faroese,Eurasia,Indo-European,oin,tvoir,mEdiSa,fiskur,hundur,lis,trEa,bla,Sid,ble,boin,hod,oira,Eiga,nes,tod,tuNga,knEa,brest,livur,dreka,suiga,hoira,doiga,koma,Serna,vatn,stoinur,Eldur,geta,fad,not,fudur,nuigur,nav,sel,hond,Eg,ti,vit
FIJIAN,fij,39,97.5,Fijian,Papunesia,Austronesian,nua,rua,tamata,ika,koli,kutu,kau,nrau,kuli,nra,si,kaukamea ni manu manu,naliNa,mata,u8u,bati,yame,nura,sere,yate,wai ni Nunu,sara,roNo8a,mate,lako mai,kalo,wai,vatu,bukawaNga,salatu,ulunivanua,boNi,sinai,mata vou,ya8a,mata ni siNa,liNa,NA,ko iko,ko kena
FINNISH,fin,40,100,Finnish,Eurasia,Uralic,iksi,kaksi,ihminen,kala,koira,tEi,puu,lehti,iho,veri,luu,sarvi,korva,silmE,nenE,hammas,kieli,polvi,rinta,maksa,juo,nEke,kuule,kuole,tule,tEhti,vesi,kivi,tuli,tie,vuori,y3,tEysi,uusi,nimi,aurinko,kEsi,minE,sinE,me
FONGBE,fon,36,90,Fon,Africa,Atlantic-Congo,8oko,we,mE,xevi,avun,jo,atin,ama,agaza,xun,xu,NA,to,nunkun,aonin,a8u,8E,NA,NA,fijo,nu,mo,se,ku,wa,sunvi,sin,ke,mo,ali,so,zan,NA,yoyo,5iko,xe,alo,5E,xE,mi
FRENCH,fra,40,100,French,Eurasia,Indo-European,oe,de,om,paso,Sia,pu,arbr3,f3y,po,sa,os,korn,ore,3y,ne,da,lag,j3nu,patrin,fa,ba,va,otadr,muri,v3ni,etol,o,per,fe,rut,motaj,nui,pl3,nuvo,no,sole,ma,j3,ti,nu
ARPITAN,frp,33,82.5,Arpitan,Eurasia,Indo-European,yo,dow,omu,p3so,Si,NA,abro,foL3,NA,so,NA,NA,or3L3,yi,na,dE,lEwa,Z3nu,NA,NA,bEa,vEa,ekota,mori,v35i,etela,Ewa,pEri,NA,Sami,mota5i,nE,plE,novo,no,solEL,ma,Z3,t3,no
NORTH_FRISIAN_AMRUM,frr,40,100,Northern Frisian,Eurasia,Indo-European,ian,tau,minsk,fask,hi5,lis,bum,blet,skan,blut,bian,hurn,uar,uk,nes,tus,toN,knebian,brast,liv3r,draNk,sE,hiar,stEr3v,kEm,stEr,ved3r,stian,ial,stix,bErak,nat,fol,nEi,nem,san,hun,ik,di,vi
FRISIAN_WESTERN,fry,40,100,Western Frisian,Eurasia,Indo-European,i3n,ta,minsk,fisk,hun,lis,bi3m,blEt,hut,blu3t,boNk3,ho3n,i3r,i3x,nes,tosk,toN3,knib3l,bo3st,lew3r,driNk3,sEn,hEr3,stEr3,kom3,stEr,vEt3r,sti3n,fu3r,dik,bErx,nat,fol,nEy,nam3,sin3,hon,ik,do,vEi
FULA,fuc,30,75,Pulaar,Africa,Atlantic-Congo,go7o,8i8,NA,liNNu,rawanu,NA,lekki,NA,laral,yiyam,yiyal,NA,nofru,yitere,hinere,ninere,8emNal,hofru,NA,NA,yar,yi7,nan,may,war,NA,niyam,hayre,yite,8atal,NA,Zemma,NA,NA,inne,naNe,juNNgo,min,an,minon
FRIULIAN,fur,40,100,Friulian,Eurasia,Indo-European,uN,doi,pErsoN,pes,CaN,pEdoli,arbul,feE,pel,saNk,ves,kar,oreli,voli,nas,dint,leNgE,zEnoli,pet,fiat,bevi,viodi,sintei,murei,vi5ei,stelE,agE,perE,fouk,stradE,mont,5ot,plen,5ouf,non,soreli,man,yo,tu,nou
GAGAUZ,gag,22,55.00000000000001,Gagauz,Eurasia,Turkic,NA,iki,NA,bEluk,kenekit,sirkE,EC,yEprEk,deri,kEn,kemik,bonuz,kulEk,NA,burnu,diS,NA,NA,memE,NA,NA,NA,NA,elmE,erimE,yulduz,NA,tES,NA,yol,NA,NA,NA,yeni,NA,gin,kol,NA,NA,NA
GAN_NANCHANG,gan,40,100,Gan Chinese,Eurasia,Sino-Tibetan,it,3,l3n,5ie,kiEu,sEt,su,iEt ci,phi fu,Siet,ku7 thEu,ko7,3 to,Nan CiaN,phit ci,Na ci,sEt thEu,Chit kai,lai,kon,hot,khon CiEn,thiaN CiEn,si,lai,SiaN ci,sui,sa7 thEu,fo,lu,san,ia uan,mon,Sin,miaN ci,thai ioN,S3u,No,n,No m3n
GUIANESE_CREOLE_FRENCH,gcr,36,90,Guianese Creole French,South America,Indo-European,un,NA,mun,pazon,Sen,pu,peba,fey,lapo,disan,zo,NA,zore,wey,NA,dan,laN,junu,potrin,NA,be,we,tande,muri,vini,zetwel,dlo,roS,dife,rut,montaN,lanuit,plen,nuvo,non,soley,lanmen,mo,to,nu
GAELIC_SCOTTISH,gla,40,100,Scottish Gaelic,Eurasia,Indo-European,un,ta,tu5E,i3sk,ku,mi3l,kruv,tuLak,kraken,fuL,knav,axarx,klu3s,suL,sron,f3kEL,CaNga,klun,kix,axa,ol,fak,klu5,pasEx,hik,riunak,uSkE,klax,Ce5E,rahaj,pen,oxE,lan,ur,a53m,kri3n,lav,mi,hu,Si5
IRISH,gle,40,100,Irish,Eurasia,Indo-European,in,ga,din3,i3sk,madr3,mil,kran,dil3,Tnas,fil,knav,airk,klu3s,sul,sok,fi3k3l,taNg3,glun,Tix,e,ol,fET,klin,eg,tar,rin,iST3,klox,tin3,kosan,Sli3v,iS3,lan,ur,an3m,Cri3n,lav,me,tu,Sin
GALICIAN,glg,39,97.5,Galician,Eurasia,Indo-European,un,dous,ome,pEiSe,kan,pioLo,arbore,foLa,pEl,saNge,oso,korno,orELa,oLo,nari8,dEnte,liNga,SeonLo,pEito,figado,beber,ber,oir,morer,bir,Estrela,auga,pEdra,lume,Estrada,monta5a,noite,Ceo,nobo,nome,sol,man,NA,ti,nos
TATIC_LAHIJANI,glk,40,100,Gilaki,Eurasia,Indo-European,yek,du,ad3m,mayi,s3g,subuj,dar,b3lg,pust,xun,xaS,Sax,guS,CuSm,d3max,d3ndan,z3bon,zon3,CuCay,jig3r,xor,din,iStows3n,mErd,a,s3tar3,aw,s3ng,at3S,ra,ku,Sow,p3r,taz3,nom,xorSid,d3s,mu,t3,amo
MANX,glv,40,100,Manx,Eurasia,Indo-European,un,de,du53,yis,ma83,mil,bily3,dolyag,krax3n,fol,krew,eak,kleS,suly,strui5,fix3l,Ci53,glyu5,kix,en,iu,fakin,klaStin,ge8in bes,Cit,roleg,uSty3,klax,ail,red,slyu,ei,lan,noa,en3m,grin,l3w,me,Siu,Sin
GOAN_KONKANI,gom,12,30,Goan Konkani,Eurasia,Indo-European,ek,don,can,NA,sune,NA,NA,NA,NA,NA,NA,NA,NA,doe,NA,NA,NA,NA,NA,NA,NA,pae,NA,marta,yevuk,NA,NA,NA,NA,vat,NA,NA,NA,NA,NA,NA,NA,hav,tu,amhi
GORONTALO,gor,34,85,Gorontalo,Papunesia,Austronesian,tuwewu,duluwo,tawu,uponula,apula,utu,NA,duNo,alipo,duhu,tulalo,NA,buloNa,mato,wuliNo,duNito,dila,NA,tutu,wanohu,Nilu,milohu,duNuhu,mate,me duNa,poliyama,taluhu,botu,tulu,dalalo,NA,huyi,NA,bohu,taNulo,NA,ulu7u,watiya,yi7o,ito
GRONINGS,gos,29,72.5,Gronings,Eurasia,Indo-European,aine,twei,man,visk,hond,NA,bom,blat,hit,blut,boNk,horn,NA,ox,nEs,NA,NA,NA,borst,NA,driN7n,zain,NA,starv3n,kom3n,stirn,wott3r,stain,NA,pat,NA,naxt,NA,niy,NA,zin,hant,ik,du,w3
GOTHIC,got,36,90,Gothic,Eurasia,Indo-European,Ens,tE,mana,fisks,hunds,NA,bagms,laufs,fil,blo8,NA,horn,auso,auxo,NA,tun8us,tuNgo,kniu,brusts,NA,driNkan,sEhan,hausan,diwan,kiman,stErno,wato,stains,fon,staixa,fErguni,nats,fuls,niuyis,namo,sauil,handus,ik,8u,wis
GHANAIAN_PIDGIN_ENGLISH,gpe,36,90,Ghanaian Pidgin English,Africa,Indo-European,wan,tu,pasin,fiS,dog,NA,tri,lif,skin,blad,bon,hon,NA,NA,noz,tut,toN,ni,NA,liva,driNk,si,hia,dai,kam,sta,wota,ston,faia,rod,maunta,nait,ful,5u,nem,san,han,mi,yu,wi
WAYUU,guc,40,100,Wayuu,South America,Arawakan,waneSia,piama,wayu,hima,er3,map3i,wunu7u,s3pana,wata,iSa,weip3se,su7uwa,waCe7e,wo7u,we7iCi,wai,waye,wasapain,waCira,s3pana,asa,era,apa,oukta,ana,holoc3,w3in,ipa,siki,wopu,nam3na,aippa7a,pirat3s3,heket3s3,s3n3lia,ka7i,wahap3,taya,pia,waya
GUARANI,gug,39,97.5,Paraguayan Guaraní,South America,Tupian,petei,mokoi,ava,pira,jaga,ky,mata,toge,ape,tuguy,ka,tati,nami,tesa,apna,rai,ku,penara,pti7a,NA,srku,heSa,henu,anaki,hua7i,jasrata,y,ita,jehap,gataha,yvyt,phare,Sovi,anetega,rera,karah,avatisoka,Se,ne,ore
GUJARATI,guj,40,100,Gujarati,Eurasia,Indo-European,ek,be,T3n,maTli,Svana,Tu,gulmor,p3tu,kal,rkt3,hadku,SiNgdu,kan,n3y3n,nak,dat,Tib,got3n,st3n,y3krut,pi,dek,sab3l,m3r,av,taro,pani,p3tro,3gni,p3nt,p3rv3t,r3Tni,t3ko3k,n3vu,nam,sur3T,hat,me,tu,apne
FRAFRA_2,gur,40,100,Farefare,Africa,Atlantic-Congo,5i,ye,nuro,jum,biak,Cik3bi,tip,viokw,5iN,zim,kwobe,5ile,turi,num,5ure,5in,giNgeluN,dunu,bisiri,paNi,5u,5a,wom,ki,jam,C3Nark,5iam,tintay,bol3m,suukw,kuNkutuN,ywok,suere,pal,ywe,kantueN,nisa,mi,fi,tama
GUNGBE,guw,33,82.5,Gun,Africa,Atlantic-Congo,ode,awe,dawe,hwevi,avun,yo,atin,ama,NA,hun,xu,azo,to,nukun,NA,adu,dE,koli,an3,NA,nu,mo,se,ku,wa,NA,sin,se,zo,alixo,so,zan,NA,NA,NA,hwe,alo,n,a,mi
EASTERN_OROMO_2,hae,40,100,Eastern Oromo,Africa,Afro-Asiatic,toko,lama,nama,qurtumi,sare,injiran,muqa,bala,goga,diga,lafe,gafa,gura,ija,fu5an,ilkan,araba,jilba,qoma,tiru,duga,arga,dagaya,du7a,dufa,urji,bisan,daga,ibida,kara,tulu,halkan,gutu,hara,maqa,adu,harka,ana,ati,nu
HAKKA_CHONGZUO_NINGMING,hak,40,100,Hakka Chinese,Eurasia,Sino-Tibetan,it,5i,5in,N,kEu,LEt,mok,iap,phi,hiEt,kut,kok,5i to,Nan,phi koN,Na chi,li chiEn,chit thEu,nEn,kon,5im,hon,thiEn,Li,loi,thiEn,sui,sak,fo,lu,Lan,am pu ia,man,Lin,miaN Lu,5iEt,siu,Nai,ni,Nai ti
HAITIAN_CREOLE,hat,39,97.5,Haitian,North America,Indo-European,yu,de,mu,paso,Se,pu,peba,fEy,po,sa,zo,ko,zorEy,ze,ne,da,laN,Zenu,tete,fa,bE,wE,tade,muri,vini,etal,dlo,roS,dife,Seme,mo,lanuit,ple,nuvo,no,solEy,me,me,NA,nu
HAUSA,hau,40,100,Hausa,Africa,Afro-Asiatic,daya,biyu,mutum,kifi,kare,karkata,itaTe,ganye,fata,jini,kashi,kaho,kunne,ido,hanTi,hakori,harshe,giwa,nono,hanta,sha,gani,ji,muti,zo,tauraro,ruwa,duse,wuta,hanya,duse,dare,Tikakke,sabo,suna,rana,hannu,ni,kai,mu
