lang_id,ISO6393,words,completeness,language,macroarea,family,ONE,TWO,PERSON,FISH,DOG,LOUSE,TREE,LEAF,SKIN,BLOOD,BONE,HORN (ANATOMY),EAR,EYE,NOSE,TOOTH,TONGUE,KNEE,BREAST,LIVER,DRINK,SEE,HEAR,DIE,COME,STAR,WATER,STONE,FIRE,PATH,MOUNTAIN,NIGHT,FULL,NEW,NAME,SUN,HAND,I,THOU,WE
ITALIAN,ita,40,100,Italian,Eurasia,Indo-European,uno,due,persona,peSe,kane,pidokkyo,albero,foLa,pElle,saNgwe,osso,korno,orekkyo,okkyo,naso,dante,liNgwa,jinokkyo,pEtto,fegato,bere,ved,ud,mor,vEn,stella,akwa,pyEtra,fwoko,sentyEro,monta5a,notte,pyEno,nwovo,nome,sole,mano,io,tu,noi
LIMONESE_CREOLE,jam,39,97.5,Jamaican Creole English,North America,Indo-European,wan,tu,pErsn,fiS,dag,lais,tri,lif,skin,blod,buon,an,Eiz,hai,nuoz,tit,toN,ni,brEs,liva,driNk,si,Eir,dEd,kom,star,wata,stuon,faya,pat,moutin,nait,ful,niu,nEim,son,an,NA,yu,wi
MALANG,jav,38,95,Javanese,Papunesia,Austronesian,siji,loro,woN,iwak,asu,tumo,wit,godoN,kolet,geteh,baloN,NA,kopeN,mripat,eroN,NA,ilat,dheNkol,susu,ati,Nombe,ndelok,kruNu,mati,teko,lintaN,ba5u,watu,geni,dhalan,gonoN,beNi,kebek,a5ar,jeneN,sreNeNe,taNan,aku,koen,aku
JAPANESE_2,jpn,40,100,Japanese,Eurasia,Japonic,hitocu,futacu,hito,sakana,inu,atamajirami,ki,ha,hifu,Ci,hone,cuno,jida,me,hana,ha,Sita,hiza,CiCi,kanzo,nomu,mieru,kikoeru,Sibo,kuru,hoSi,mizu,iSu,hi,miCi,oka,yoru,ippai,ataraSi,namae,hi,te,boku,anata,bokura
KARAKALPAK,kaa,39,97.5,Kara-Kalpak,Eurasia,Turkic,bir,eki,odom,boluq,it,NA,oxoS,Zopuroq,teri,qon,siyek,miyiz,quloq,kaz,murun,tis,til,dize,kakirek,bowur,iSiw,kariw,esitiw,aliw,keliw,Zuldus,suw,tos,ot,soqpoq,tow,tin,toluq,ZoNo,ot,qiyos,qol,men,sen,biz
KABYLE_GREATER_KABYLIA_AT_MANGELLAT,kab,39,97.5,Kabyle,Africa,Afro-Asiatic,yiw3n,sin,lx3lq,asl3m,ay8i,8ilkit,t3Zr7a,if3r,ajlim,i8am3n,ix3s,iS3w,am3z7ux,8it7,8inz3r8,8uxm3s8,il3s,afu8,8abbuS8,8asa,s3w,z73r,s3l,m38,as,i8ri,aman,az7ru,8im3s,abri8,a8rar,i87,Car7,aZ8i8,is3m,it7iZ,NA,n3k,c3C,n3kni
EAST_GREENLANDIC,kal,40,100,Kalaallisut,North America,Eskimo-Aleut,ataasiq,maqtit,tikkak,aatisaNaq,qimmiq,uyaNaq,uqpik,mutiqut,utiiwik,aak,kikkaq,natteq,siit,uissat,qiNaq,niqqit,atuttuut,aipiqtiNaq,mittivaq,ituqut,imiq,taki,naataqni,piiNiC,akkiq,ammatiwassiaq,imiq,nunakkassiaq,igivattatteq,aqqulaq,qaqqaqtiwaq,unnuaq,utukkaaq,nutaaq,atiq,siqiiq,assak,uaNa,ittit,uaNit
KANNADA,kan,40,100,Kannada,Eurasia,Dravidian,ondu,eradu,manusya,matsya,nayi,henu,mara,ele,togalu,rakta,elubu,kombu,kivi,kannu,mugu,hallu,nalige,monakalu,ede,hiri,kudi,nodu,kelu,Cayu,baru,naksatra,niru,kallu,benki,marga,betta,ratri,tumba,hosa,hesaru,surya,kai,nanu,ninu,navu
KASHMIRI,kas,40,100,Kashmiri,Eurasia,Indo-European,ak,zah,zon,gad,hun,zauv,kul,panbarag,musla,rat,adij,heN,kan,aT,nast,dan,zeo,kot,waT,krena maz,Tun3,wuTun3,bozun3,marun3,yiun3,taruk,ab,kain,nar,wat,koh,at,trawatrawa,nau,nao,aftab,ata,boh,tuhi,as3
GEORGIAN,kat,40,100,Georgian,Eurasia,Kartvelian,Erti,ori,piri,tEvzi,cali,tili,xE,potoli,tqavi,sisli,cali,rka,quri,tali,ciri,kbili,Ena,muli,mkErdi,xicli,sma,xEda,smEna,kdoma,mosla,varsklavi,cqali,ka,cEcli,biliki,mta,xamE,savsE,axali,gari,mzE,xEli,mE,SEn,CEn
KAZAKH,kaz,40,100,Kazakh,Eurasia,Turkic,bir,eki,kisi,baluq,it,bit,axaS,Zaluraq,teri,qan,siyek,miyiz,qulaq,kez,murun,tis,til,tize,kekirek,baur,iSu,keru,esitu,elu,kelu,Zulduz,su,tas,ot,Zol,tau,tin,tolu,ZaNa,at,kin,qol,men,sen,biz
KABARDIAN,kbd,38,95,Kabardian,Eurasia,Abkhaz-Adyge,z3,t3,c3w,bc3Z3y,h3,c3,Z3X,t3mp3,f3,L3,q3pS3,bZ3,t3k3m3,n3,p3,c3,bz3g3,L3gaZ3,bX3,t3nS3w,y3f3n,Law3n,z3x3x3n,tL3n,q3kw3n,waw3,ps3,m3w3,maf3,NA,bX3,Z3S,y3z,S3,c3,d3X3,NA,s3,w3,f3
KABIYE_3,kbp,32,80,Kabiyé,Africa,Atlantic-Congo,kudum,nalE,NA,Eku,ho,asEsEyE,ti,hayu,hundu,Calim,NA,hil,nangbaN,Es,mo,ke,NA,nEmbE,yi,ho,holosu,nau,NA,sibu,kom,tiN,lim,nem,miN,NA,pu,aho,tENElu,kifalu,hi,wisi,nanda,NA,NA,NA
TYAP,kcg,33,82.5,Tyap,Africa,Atlantic-Congo,5uN,fiyaN,NA,3f3n,ubwu,C3raN,ukan,NA,3ka,3sok,kuNkup,3gwa,CuCCo,3li,jjay,35uN,3ly3m,NA,f3l3N,lyo,so,di,fok,xu,bay,taNwat,sakat,3faN,loN,Nwap,3fan,NA,NA,NA,3y3rok,nam,NA,n,a,z3
KOMERING,kge,34,85,Komering,Papunesia,Austronesian,say,rua,jolma,iwa7,asu,kutu,NA,bulN,bawa7,rah,tulan,NA,CupiN,mata,iruN,ipon,ma,NA,titi7,hati,Ninum,lia7,anoNi,mati,ratoN,binaN,uay,batu,ap3y,raNraya,NA,dibiNi,NA,omay,golar,NA,puNu,5a7,niku,kita
KHALKHA_MONGOLIAN,khk,40,100,Halh Mongolian,Eurasia,Mongolic-Khitan,neg,xoyor,xuN,caqas,noxoi,pos,mot,nawC,ars,cus,yas,ewer,Cix,nut,xamar,Sut,xeL,3wt3g,x3x,eLeg,ux,ucex,tuLax,uxex,yirex,ot,us,CuLu,qaL,Cim,uL,S3n3,tureN,Sine,ner,nar,qar,pi,Ci,pit
KHMER,khm,40,100,Central Khmer,Eurasia,Austroasiatic,muey,bir,manus,ti,C3kE,Cay,ta3m Za3,s3l3k,s3pEk,Zam,C3N,s3nEN,t3Ci3k,b3n3k,C3muh,d3m3n,3ntak,Z3NgaN,toh,tla3m,p3k,ma3l,l3,slap,mok,p3kay,d3k,t3mo,bla3N,Z3luw t3nal,b3nom,yop,b3n,tmi,Z3maoh,t3Nay,tay,k3nom,EN,ya3N
GIKUYU,kik,36,90,Kikuyu,Africa,Atlantic-Congo,mE,gere,no,NA,gui,da,te,8aNo,dara,8akamE,hene,hea,to,i8o,niuru,xexo,reme,ru,dori,ni,5u,on,ig,ku,ok,jata,mae,hixa,waki,jera,NA,tuku,NA,NA,ta,oa,he,nie,we,i8ue
KINYARWANDA,kin,39,97.5,Kinyarwanda,Africa,Atlantic-Congo,me,bili,nu,fi,ba,da,NA,babi,hu,raso,gufa,heme,ti,iSo,zuru,i5o,limi,vi,tuza,ijima,5a,rora,ma,pa,za,5e5eri,azi,buye,liro,zira,sozi,joro,zura,Sa,zina,zuba,gana,gewe,wowe,tebe
KYRGYZ,kir,39,97.5,Kirghiz,Eurasia,Turkic,bir,eki,kiSi,boluk,it,NA,ZugoC,Zolburok,teri,kon,sek,miyiz,kulok,kez,murun,tiS,til,tize,kekirok,bor,iCi,keri,ugu,eli,keli,Zulduz,su,taS,ot,Cuyur,to,tin,tolturo,Zonu,ot,kin,kol,men,sen,biz
KANURI,knc,40,100,Central Kanuri,Africa,Saharan,tilo,ni,kam,b35i,k3ri,k3N3s3,k3ska,kalu,karawi,bu,Sila,kaNadi,s3mo,Sim,k3nsa,timi,t3lam,NurumNurum,t3gam,k3mat3n,k3nja,ro,fan,no,iso,Silowu,ni,kau,kanu,turwo,k3ri,b3n3,z3m3li,b3lin,Cu,k3Nal,musko,wu,5i,ani
KOONGO,kng,37,92.5,South-Central Koongo,Africa,Atlantic-Congo,mosi,ole,nu,NA,ba,NA,ni,kaya,ubula,iNa,yisi,moka,tu,isu,bomo,inu,dimi,koto,nulu,momo,nwa,mona,wa,fa,kiza,betete,za,tadi,mau,nila,oNo,suku,fuluka,ma,Numu,naNu,oko,NA,Ne,beto
KOMI_PERMYAK_2,koi,40,100,Komi-Permyak,Eurasia,Uralic,3t,k3k,mort,Ceri,pon,Lapa toy,pu,List,kuCik,vir,koska,Sur,peL,Sin,n3r,pi5,k3v,pidz3s,moros,mus,yun3,adzz3n3,k3vn3,kuvn3,Lokn3,k3dz3v,va,iz,bi,tuy,ker3s,oy,t3ra,viL,5im,Sondi,kikar,me,te,miy3
KOREAN,kor,40,100,Korean,Eurasia,Koreanic,han,tul,saram,mul kogi,kE,i,namu,ip,gopjil,pi,bo,bul,ki,nun,ko,i,ho,murup,kasum,kan,masi,po,tut,Cuk,oda,pol,mul,tol,pul,kil,san,pam,Can,sEroun,irum,hE,son,na,taNsin,uri
KARACHAY_BALKAR,krc,37,92.5,Karachay-Balkar,Eurasia,Turkic,bir,eki,adam,Cabak,it,bit,axaC,japrak,teri,kan,siyek,NA,kulak,k3z,burun,tiS,til,NA,NA,bawur,iC,k3r,eSit,3l,kel,jild3z,su,taS,ot,jol,taw,keCe,tolu,jaNi,at,kin,kol,men,sen,biz
RIPUARIAN_GERMAN,ksh,38,95,Kölsch,Eurasia,Indo-European,en,cwei,mEnS,fEZS,hoNk,lus,bom,blad3X,NA,blut,NA,hoXn,uX,ox,nas,caNk,coN,knen,buXS,lab,dreNk3,zen,hiX3,StEr3v3,kom3,SteXn,wazs3r,Sten,fir,weyX,bEr3X,nat,v3l,noy,nam3,zon,hant,iX,du,mir
KWANYAMA_2,kua,36,90,Kuanyama,Africa,Atlantic-Congo,me,vali,nhu,Si,bwa,na,ti,fo,ipa,hone,kipa,iNa,twi,So,yulu,yo,laka,Nolo,vele,xuli,na,mona,da,fya,ya,5ofi,eva,ma5a,nilo,jila,dudu,ufiku,yada,pe,dina,taNo,NA,NA,NA,NA
KUSAL_2,kus,40,100,Kusaal,Africa,Atlantic-Congo,yon,yi,nit,ziN,ba,kiba,ti,vauk,goN,zim,kobut,7il,tobut,nif,5ot,5in,zilim,d3m,bi7sa,sot,nu,5e,w3m,ki,ti na,warabil,k3o7om,kug3ti,b3g3m,sot,zot,yu7uN,pE7E,pal,yu7ut,wintiN,nu7uk,mam,f3,t3m
